文本,回忆,回忆次数,覆盖率,准确率,遗漏,错字,总字数
"艺术家的感受中可能包含哲学家的判定，但哲学家的判定未见得能包艺术家的感受。", "艺术家的感受中可能包含哲学家的判定 但哲学家的判定中未必包含艺术家的感受", 2, 0.971, 0.971, "见 得", "必", 35
"大部分是长篇小说，尤其是尽量阅读、研究、分析古今中外的长卷作品。", "大部分是长篇小说 尤其是经常阅读 研究 古今中外的长卷作品", 1, 0.857, 0.923, "尽 量 析", "经 常", 28
"大部分是长篇小说，尤其是尽量阅读、研究、分析古今中外的长卷作品。", "大部分是长篇小说 尤其是尽量阅读 研究 分析古今中外的长卷作品", 2, 1.0, 1.0, "", "", 28
"每天傍晚抬起头来，总会如期地看见窗外又红又大的落日在远方沙漠中下沉。", "每天傍晚抬起头来  总能如期的看见远方又大又红的落日在沙漠中下沉", 1, 0.906, 0.967, "会 地 窗 外", "能", 32
"每天傍晚抬起头来，总会如期地看见窗外又红又大的落日在远方沙漠中下沉。", "每天傍晚抬起头来 总能如期的看见窗外又红又大的落日在远方的沙漠中下沉", 2, 1.0, 0.97, "会 地", "能", 32
"躲在床上，有一种生命既将终目的感觉，似乎从此倒下就再也爬不起来。", "躲在床上 似乎有一种生命即将终目的感觉 似乎倒下后再也爬不起来", 1, 0.931, 0.931, "既 从 此 就", "即 后", 29
"躲在床上，有一种生命既将终目的感觉，似乎从此倒下就再也爬不起来。", "躲在床上 有一种生命既将终目的感觉 似乎倒下从此就再也爬不起来", 2, 1.0, 1.0, "", "", 29
"首无应该弄清楚，是谁让高加林们经历那么多折磨或自我折磨走了一个圆圈后不得不又回到了起点？", "首先要弄清楚 是谁让高加林们经历了那么多折磨或是自我折磨后走了一个大圆圈又回到起点", 1, 0.881, 0.925, "无 应 该 不 得 不", "先 要 大", 42
"首无应该弄清楚，是谁让高加林们经历那么多折磨或自我折磨走了一个圆圈后不得不又回到了起点？", "首先应该弄清楚 是谁让高加林们经历了那么多折磨或自我折磨不得不走了一个大圆圈后又回到了起点", 2, 1.0, 0.955, "无", "先 大", 42
"首无应该弄清楚，是谁让高加林们经历那么多折磨或自我折磨走了一个圆圈后不得不又回到了起点？", "首先应该弄清楚 是谁让高加林们经历了那么多折磨走了一个圆圈后不得不又回到起点?", 3, 0.857, 0.973, "无 或 自 我", "先", 42
"首无应该弄清楚，是谁让高加林们经历那么多折磨或自我折磨走了一个圆圈后不得不又回到了起点？", "首先应该弄清楚 是谁让高加林们经历了那么多折磨或是自我折磨走了一个圆圈后不得不又回到起点", 4, 1.0, 0.977, "无", "先", 42
"我已进入“不惑”之年；我深知道任何荣誉并不能完全证明真正的成功。", "我已入不惑之年 我深知任何的荣誉都不能代表真正的成功", 1, 0.786, 0.88, "进 道 并 完 全 证 明", "都 代 表", 28
"我已进入“不惑”之年；我深知道任何荣誉并不能完全证明真正的成功。", "我已进入不惑之年 我深知道任何的荣誉都不能证明成功的价值", 2, 0.857, 0.889, "并 完 全 真 正", "都 价 值", 28
"我已进入“不惑”之年；我深知道任何荣誉并不能完全证明真正的成功。", "我已进入不惑之年 我深知道任何的荣誉都不能够证明真正的成功", 3, 0.929, 0.929, "并 完 全", "都 够", 28
"我已进入“不惑”之年；我深知道任何荣誉并不能完全证明真正的成功。", "我已进入不惑之年 我深知道任何的荣誉并不能完全证明真正的成功", 4, 1.036, 1.0, "", "", 28
"我没明没黑开始了这件枯燥而必需的工作，一页一页翻看，并随手在笔记本上记下某年某月某日的大事和一些认为“有用”的东西。", "我没明没黑地开始了这项工作 一页一页的翻看 并在笔记本上记下这一天发生的大事和我认为有用的东西", 1, 0.755, 0.889, "件 枯 燥 而 必 需 随 手 某 年 某 月 某 日 些", "地 项 天 发 生", 53
"我没明没黑开始了这件枯燥而必需的工作，一页一页翻看，并随手在笔记本上记下某年某月某日的大事和一些认为“有用”的东西。", "我没明没黑地开始了这项枯燥而又必须的工作 一页一页的翻看  并在笔记本上记下某年某月某日发生的大事和一些觉得有用的事情", 2, 0.887, 0.839, "件 需 随 手 认 为 东 西", "地 项 又 须 发 生 觉 得 情", 53
"我没明没黑开始了这件枯燥而必需的工作，一页一页翻看，并随手在笔记本上记下某年某月某日的大事和一些认为“有用”的东西。", "我没明没黑地开始了这项枯燥而又必需的工作 一页一页地翻看 并随手在笔记本上记下某年某月某日发生的大事和一些认为有用的东西", 3, 0.981, 0.897, "件", "地 项 又 地 发 生", 53
"首先不应该谈论是否应该有这一声呼喊，而应该讨论这声呼喊是真情的流露还是伪饰的矫情。", "首先不应该谈论是否应该有这声呼喊  而是应该谈论这呼喊是真情的流露 还是伪饰的矫情", 1, 0.974, 1.0, "一 讨", "", 39
"这样的时刻，所有你尊敬的作家都可以让他们安坐在远方历史为他们准备的“先圣词”中，让他们各自光芒四射地照耀大地。", "在这样的时刻 所有你尊敬的作家都可以坐在远方为他们准备的先圣祠中 让他们安坐着照亮大地", 1, 0.76, 0.927, "历 史 词 各 自 光 芒 四 射 耀", "祠 着 亮", 50
"这样的时刻，所有你尊敬的作家都可以让他们安坐在远方历史为他们准备的“先圣词”中，让他们各自光芒四射地照耀大地。", "在这样的时刻 所有你尊敬的作家都可以让他们安坐在远方历史为他们准备的先圣祠中 让他们五光十色地照耀着大地", 2, 0.9, 0.9, "词 各 自 芒 四 射", "祠 五 十 色 着", 50
"这样的时刻，所有你尊敬的作家都可以让他们安坐在远方历史为他们准备的“先圣词”中，让他们各自光芒四射地照耀大地。", "这样的时刻 所有你尊敬的作家都可以让他们安坐在远方历史为他们准备的先圣祠中  让他们各自光芒四射地照耀着大地", 3, 0.98, 0.961, "词", "祠 着", 50
"在我看来，在长卷作品中，所有的人物应该尽可能早地出场，以便有足够的长度完成他们。", "在我看来 在长卷作品中 所有的人物都应该尽早出场  以便有足够的长度来完成他们", 1, 0.944, 0.971, "可 能 地", "都", 36
"就当时的身体状况，没有这个条件，要顺利地完成最后一部初稿是不可能的。", "就当时的身体状况没有这个条件 要完成第一步初稿是不可能的", 1, 0.806, 0.926, "顺 利 地 最 后 部", "第 步", 31
"就当时的身体状况，没有这个条件，要顺利地完成最后一部初稿是不可能的。", "就当时的身体状况 没有这个条件  要顺利地完成最后一步初稿是不可能的", 2, 0.968, 0.968, "部", "步", 31
"这是一次打破常规的播出——因为全书还没有最后完成，他们只是看了第三部的初稿，就决定开始播出全书。", "这是一次打破常规的播出 这是因为作品还没有完成 他们只是看了第三部的初稿就决定将全书播出", 1, 0.907, 0.929, "最 后 开 始", "作 品 将", 43
"这是一次打破常规的播出——因为全书还没有最后完成，他们只是看了第三部的初稿，就决定开始播出全书。", "这是一次打破常规的播出 因为全书还没有完成 他们只是看了第三部的初稿 就决定全书播出", 2, 0.907, 1.0, "最 后 开 始", "", 43
"这是一次打破常规的播出——因为全书还没有最后完成，他们只是看了第三部的初稿，就决定开始播出全书。", "这是一次打破常规的播出 因为作品还没有最后完成 他们只是看了第三部的初稿 就决定开始播出全书", 3, 0.953, 0.953, "", "作 品", 43
"常有的现象是，某些人因某篇作品所谓“打响”了，就坐享其成，甚至吃一辈子。", "常有的现象是 有些人因为有些作品打响了 就坐享其成 甚至吃一辈子", 1, 0.933, 0.966, "某 某 篇 所 谓", "为", 30
"常有的现象是，某些人因某篇作品所谓“打响”了，就坐享其成，甚至吃一辈子。", "常有的现象是 某些人因为某篇作品所谓打响了 就坐享其成 甚至吃一辈子", 2, 1.0, 0.968, "", "为", 30
"应该认识到，如果不能重新投入严峻的牛马般的劳动，无论作为作家还是作为一个人，你真正的生命也就将终结。", "应该认识到 一个作家如果不能投入像牛马般地投入劳动 你的生命即将终结", 1, 0.63, 0.906, "重 新 严 峻 无 论 为 还 是 为 人 真 正 也 就", "像 地 即", 46
"应该认识到，如果不能重新投入严峻的牛马般的劳动，无论作为作家还是作为一个人，你真正的生命也就将终结。", "应该意识到 如果不能重新严峻的像牛马般的投入一项工作 无论作为作家还是作为人 你真正的生命也即将终结", 2, 0.913, 0.894, "认 劳 动 个 就", "意 像 项 工 即", 46
"应该认识到，如果不能重新投入严峻的牛马般的劳动，无论作为作家还是作为一个人，你真正的生命也就将终结。", "应该认识到 如果不能严峻的牛马般的投入劳动 无论作为作家还是作为人 你真正的生命也就将终结", 3, 0.913, 1.0, "重 新 一 个", "", 46
"每天中午吃完两个馒头一碗稀饭，就像丢下襁褓中的婴儿一样匆忙地赶回工作间。", "每天中午吃完两个馒头一碗稀饭 就像丢下襁褓中的婴儿一样 匆忙地赶回车间工作", 1, 1.0, 0.971, "", "车", 34
"每天中午吃完两个馒头一碗稀饭，就像丢下襁褓中的婴儿一样匆忙地赶回工作间。", "每天中午吃完两个馒头一碗稀饭 就像丢下襁褓中的婴儿一样 匆忙地赶回工作间", 2, 1.0, 1.0, "", "", 34
"要是长时间没有下雪，人们就陷入愁容苦，到处是一片叹息声，整个生活都变得十分灰暗。", "要是长时间没有下雪  人们就会陷入愁容苦 到处是一篇叹息声 整个生活陷入一片黑暗", 1, 0.917, 0.917, "都 变 得 十 分 灰", "会 篇 黑", 36
"要是长时间没有下雪，人们就陷入愁容苦，到处是一片叹息声，整个生活都变得十分灰暗。", "要是长时间没有下雪 人们就陷入愁容苦  到处是一片叹息声 整个生活变得十分黑暗", 2, 0.944, 0.971, "都 灰", "黑", 36
"这十年是中国社会的大转型期，其间充满了密集的重大历史性事件；而这些事件又环环相扣，互为因果，这部企图用某种程序的编年史方式结构的作品不可能回避它们。", "这十年是中国的大转型期 期间充满了密密麻麻的重大历史事件; 这部企图用编年史记录的不可能回避他们", 1, 0.58, 0.889, "社 会 其 集 性 而 些 又 环 环 相 扣 互 为 因 果 某 种 程 序 方 式 结 构 作 品 它", "麻 麻 记 录 他", 69
"这十年是中国社会的大转型期，其间充满了密集的重大历史性事件；而这些事件又环环相扣，互为因果，这部企图用某种程序的编年史方式结构的作品不可能回避它们。", "这十年是中国社会的大转型期 其间充满了密集的重大历史性事件 其间因果关系 环环相扣 这部采用历史编年性结构的作品又不可能回避他们", 2, 0.812, 0.933, "而 些 互 为 企 图 某 种 程 序 方 式 它", "关 系 采 他", 69
"更重要的是，出色的现实主义作品甚至可以满足各个层面的读者，而新潮作品至少在目前的中国还做不到这一点。", "更重要的是 出色的现实主义作品甚至可以满足各个层面的读者 而新潮作品至少在目前的中国还做不到这一点", 1, 1.0, 1.0, "", "", 47
"记得为了弄清农村责任农村责任制初期阶段的一些非常具体的情况，我曾把两个当过公社领导的老同学关在旅馆的一间房子里谈了一天一夜，累得他们中间不时拉起鼾声。", "记得弄清农村责任 农村责任制中的一些具体的细节 我曾把两个当过公社领导的老同学拉到一个旅馆里面聊了一天一夜 累得他们不时拉起鼾声", 1, 0.778, 0.918, "为 初 期 阶 段 非 常 情 况 关 在 间 房 子 谈 间", "细 节 到 面 聊", 72
"记得为了弄清农村责任农村责任制初期阶段的一些非常具体的情况，我曾把两个当过公社领导的老同学关在旅馆的一间房子里谈了一天一夜，累得他们中间不时拉起鼾声。", "记得为了弄清农村责任 农村责任制初期阶段的一些具体情况 我曾把两个当过公社领导的老同学关到一间旅馆谈了一天一夜, 累到他们不时拉起鼾声", 2, 0.847, 0.968, "非 常 在 房 子 里 中", "到 到", 72
"到那里病治好了，万幸；治不好，也可就地埋在故乡的黄土里——这是最好的归宿。", "在那里病治好了 万幸;  治不好 也可以就地埋在故乡的黄土中 这是最好的归宿", 1, 0.968, 0.938, "到", "以 中", 31
"于是一到半山腰的树丛中，就脱得赤条条只穿一件裤衩，像非洲丛林里的土著生蕃。", "于是一到半山腰的树丛中 就脱得精光 只剩一条裤衩 像非洲草原里的土著生蕃", 1, 0.824, 0.848, "赤 穿 件 林", "精 光 剩 草 原", 34
"于是一到半山腰的树丛中，就脱得赤条条只穿一件裤衩，像非洲丛林里的土著生蕃。", "于是一到半山腰的树丛中 就脱得赤条条 只剩一条裤衩 像非洲草原里的土著生蕃", 2, 0.912, 0.912, "穿 件 林", "剩 草 原", 34
"换一个角度看，尽管我接连两届获全国优秀中篇小说奖，《人生》小说和电影都产生了广泛影响。", "从另一个角度看 尽管我连续两届获得全国优秀中篇小说奖 人生在电影和文学都产生了广泛的影响", 1, 0.895, 0.81, "换 接", "从 另 续 得 在 文 学 的", 38
"换一个角度看，尽管我接连两届获全国优秀中篇小说奖，《人生》小说和电影都产生了广泛影响。", "换一个角度看 尽管我接连两届获得全国优秀中篇小说奖 人生小说和电影都产生了广泛影响", 2, 1.0, 0.974, "", "得", 38
"这种介绍是简历性的，抽象的，作者像一堵墙横在读者与人物之间，变为纯粹的“报幕员”，而且介绍一个人物的时候，其它人物都被搁置起来。", "这种介绍是简历性的 抽象的 作者像一堵墙横隔在人物与读者之间 当一个纯粹的报幕员 任务与人物之间是分隔的没有联系", 1, 0.75, 0.808, "变 为 而 且 时 候 其 它 都 被 搁 置 起 来", "隔 当 任 务 分 隔 没 有 联 系", 56
"这种介绍是简历性的，抽象的，作者像一堵墙横在读者与人物之间，变为纯粹的“报幕员”，而且介绍一个人物的时候，其它人物都被搁置起来。", "这种介绍是简历性的 抽象的 作者像一堵墙横在读者与人物之间 变为纯粹的报幕员 而且介绍一个人物的时候 其他人物都被搁置起来", 2, 0.982, 0.982, "它", "他", 56
"我几十年在饥寒、失误、挫折和自我折磨的漫长历程中，苦苦追寻一种目标，任何有限度的成功对我都至关重要。", "我几十年在极寒 挫折 痛苦中苦苦追寻一种目标  任何有限度的成功对我来说都很重要", 1, 0.689, 0.861, "饥 失 误 和 自 磨 漫 长 历 程 至 关", "极 痛 来 说 很", 45
"我几十年在饥寒、失误、挫折和自我折磨的漫长历程中，苦苦追寻一种目标，任何有限度的成功对我都至关重要。", "我几十年在饥寒 失误 挫折 和自我折磨的漫长历程中苦苦追寻一种目标 任何有限度的成功对我都至关重要", 2, 1.0, 1.0, "", "", 45
"而你却几年来一直热迷不悟，为实现一种少年时的狂想就敢做这件不切这际的事。", "而你这几年来一直执迷不悟 为实现少年时的狂想一直做这件不切实际的事", 1, 0.912, 0.969, "却 热 种 就 敢", "执", 34
"而你却几年来一直热迷不悟，为实现一种少年时的狂想就敢做这件不切这际的事。", "而你却几年来一直执迷不悟 为实现少年时的狂想就敢做一件不切实际的事", 2, 0.912, 0.969, "热 种 这 这", "执", 34
"回想起来，从一开始投入这部书到现在，基本是一往如故地保持着真诚而纯净的心灵，就像在初恋一样。", "回想起来 从一开始投入这本书到现在 基本上一直保持着纯真一往如故的心灵 就像初恋时那样", 1, 0.857, 0.9, "部 是 地 诚 而 净", "上 直 时 那", 42
"回想起来，从一开始投入这部书到现在，基本是一往如故地保持着真诚而纯净的心灵，就像在初恋一样。", "回想起来 从一开始投入这部书 到现在  基本上是一往如故地保持着真诚而纯净的心灵 就像在初恋一样", 2, 1.0, 0.977, "", "上", 42
"在读者的视野中，人物动动的河流将主要有三条，即分别以孙少安孙少平为中心的两条“近景”上的主流和以田福军为中心的一条“远景”上的主流。", "在读者的视角中 人物动动的河流主要有三条 即分别以孙少平 孙少军为核心的近景河流主线 和以田福平为中心的远景河流主线", 1, 0.847, 0.926, "野 将 安 两 上 一 上", "角 核 线 线", 59
"在读者的视野中，人物动动的河流将主要有三条，即分别以孙少安孙少平为中心的两条“近景”上的主流和以田福军为中心的一条“远景”上的主流。", "在读者的视野里 人物动动的河流将主要有三条  即以孙少安 孙少平 为中心的两条近景上的主流 和以田福军为中心的一条远景上的主流", 2, 0.949, 0.982, "分 别", "里", 59
"我把暖水瓶的水倒进脸盆，随即从床上拉了两条枕巾放进去，然后用“鸡爪子”手抓住热毛巾在烫水里整整泡了一刻钟，这该死的手才渐渐恢复了常态。", "我把热水瓶里的水倒进水盆中  再从床上扯了两条毛巾放进去 用鸡爪子般的手握住热水的毛巾 这该死的手才逐渐恢复了常态", 1, 0.77, 0.887, "暖 脸 随 即 拉 枕 然 后 抓 在 烫 整 整 泡 一 刻 钟", "中 再 扯 般 握 逐", 61
"我把暖水瓶的水倒进脸盆，随即从床上拉了两条枕巾放进去，然后用“鸡爪子”手抓住热毛巾在烫水里整整泡了一刻钟，这该死的手才渐渐恢复了常态。", "我把暖水瓶里的水倒进脸盆中 并从床上拉了两块毛巾放进热水之中 并用我的鸡爪子手握住毛巾 过了一刻钟我的手才渐渐恢复了常态", 2, 0.803, 0.86, "随 即 条 枕 去 然 后 抓 在 烫 整 整 泡 这 该 死", "中 并 块 之 中 并 握 过", 61
"我把暖水瓶的水倒进脸盆，随即从床上拉了两条枕巾放进去，然后用“鸡爪子”手抓住热毛巾在烫水里整整泡了一刻钟，这该死的手才渐渐恢复了常态。", "我把暖水瓶的水倒进脸盆中  随即从床上拉了两块枕巾泡在水里 并用我的鸡爪子手抓住毛巾 泡了整整一刻钟 我的手才渐渐恢复了常态", 3, 0.885, 0.947, "条 放 去 然 后 热 烫 这 该 死", "中 块 并", 61
"这是一次打破常规的播出——因为全书还没有最后完成，他们只是看了第三部的初稿，就决定开始播出全书。", "这是一次打破常规的播出 因为作品还没有完成 他们只是看了第三部的初稿 就决定开始播出全书", 4, 0.907, 0.951, "最 后", "作 品", 43
"按我当时的情况，起码还应该休息一年，所有的人都劝我养好身体再说，我知道，朋友们和亲人们都出于真诚地关怀我。", "按我当时的情况 最起码还要休息一年才能出书 所有人都劝我 我知道朋友们和亲人们都是出于真诚的关怀", 1, 0.812, 0.867, "应 该 养 好 身 体 再 说 地", "最 要 才 能 书 是", 48
"按我当时的情况，起码还应该休息一年，所有的人都劝我养好身体再说，我知道，朋友们和亲人们都出于真诚地关怀我。", "按我当时的情况 起码还应该休息一年 都劝我休息好了 我知道 朋友们亲人们都处于真诚地关怀我", 2, 0.812, 0.951, "所 有 养 身 体 再 说 和 出", "了 处", 48
"按我当时的情况，起码还应该休息一年，所有的人都劝我养好身体再说，我知道，朋友们和亲人们都出于真诚地关怀我。", "按我当时的情况 起码还应该休息一年 所有的人都劝我养好身体再说 我知道 朋友们和亲人们都是出于真诚地关怀我", 3, 1.0, 0.98, "", "是", 48
"结果，由于这种年龄还不能在复杂陡峭的地形中完满地平衡身体的重心，就从山顶的一个悬崖上滑脱，向深沟里跌了下去。", "结果由于这种年龄还不能完美地平衡身体的重心  在山顶上一个滑坡 跌倒了谷底", 1, 0.58, 0.853, "复 杂 陡 峭 形 中 满 就 从 悬 崖 脱 向 深 沟 里 下 去", "美 坡 倒 谷 底", 50
"结果，由于这种年龄还不能在复杂陡峭的地形中完满地平衡身体的重心，就从山顶的一个悬崖上滑脱，向深沟里跌了下去。", "结果由于这种年龄还不能在陡峭的地形中完美地平衡重心 就在山顶的一个悬崖滑脱 向谷底跌了下去", 2, 0.8, 0.93, "复 杂 满 身 体 从 上 深 沟 里", "美 谷 底", 50
"结果，由于这种年龄还不能在复杂陡峭的地形中完满地平衡身体的重心，就从山顶的一个悬崖上滑脱，向深沟里跌了下去。", "结果由于这种年龄还不能在复杂陡峭的地形中完美地保持身体的重心  就在山顶的一个悬崖滑脱 向底下跌了下去", 3, 0.88, 0.917, "满 平 衡 从 上 深 沟 里", "美 保 持 底", 50
"按我当时的情况，起码还应该休息一年，所有的人都劝我养好身体再说，我知道，朋友们和亲人们都出于真诚地关怀我。", "按当时的情况  起码还应该休息一年 所有的人都劝我先养好身体再说 我知道朋友们和亲人们都出于真诚的关怀我", 4, 0.979, 0.979, "地", "先", 48
"到此时，我感动室内的工作暂时可以告一段落，应该进入另一个更大规模的“基础工程”——到实际生活中去，即所谓“深入生活”。", "到这时我感觉室内的工作可以暂时告一段落 可以到更大的空间去 即走出去 实践 感受生活", 1, 0.612, 0.789, "此 动 应 该 进 入 另 个 规 模 基 础 程 际 中 所 谓 深 入", "这 觉 空 间 走 出 践 受", 49
"到此时，我感动室内的工作暂时可以告一段落，应该进入另一个更大规模的“基础工程”——到实际生活中去，即所谓“深入生活”。", "到这时 我感觉室内的工作已经暂时告一段落 应该到一个更大的基础工程中去 生活 去实践生活", 2, 0.714, 0.875, "此 动 可 以 进 入 另 规 模 际 即 所 谓 深 入", "这 觉 已 经 践", 49
"工作规律在写第一部时已经基本建立起来，许多方面习惯成了自然，不必为一些形式上的小事而大费心机。", "工作规律在写第一部时已建立起来 许多事情以及自动化 不必再为这些事情费尽心机", 1, 0.614, 0.75, "经 基 本 方 面 习 惯 成 了 然 形 式 上 的 小 而 大", "情 以 及 动 化 再 这 情 尽", 44
"工作规律在写第一部时已经基本建立起来，许多方面习惯成了自然，不必为一些形式上的小事而大费心机。", "规律在写第一部时已经 许多事情习惯成了自然 不必再为一些形式而大费周章", 2, 0.659, 0.879, "工 作 基 本 建 立 起 来 方 面 上 的 小 心 机", "情 再 周 章", 44
"工作规律在写第一部时已经基本建立起来，许多方面习惯成了自然，不必为一些形式上的小事而大费心机。", " 工作规律，在写第一部时，已经基本建立起来很多事情习惯成了自然，不必再为一些形式大费周折。", 3, 0.795, 0.875, "许 方 面 上 的 小 而 心 机", "很 情 再 周 折", 44
"工作规律在写第一部时已经基本建立起来，许多方面习惯成了自然，不必为一些形式上的小事而大费心机。", " 工作规律，这些第一步是已经基本建立起来 许多方面习惯成了自然，不必再为一些形式大费心机。", 4, 0.818, 0.9, "在 写 部 时 上 的 小 事 而", "这 步 是 再", 44
"工作规律在写第一部时已经基本建立起来，许多方面习惯成了自然，不必为一些形式上的小事而大费心机。", "规律在写第一部时已经基本建立起来，许多方面形成了自己的习惯，不必为一些形式上的小事大费心机。", 5, 0.955, 0.977, "工 作 然 而", "己", 44
"工作规律在写第一部时已经基本建立起来，许多方面习惯成了自然，不必为一些形式上的小事而大费心机。", " 工作规律在写第一部时已经基本建立了起来, 许多事情习惯成自然, 不必在为一些形式上的小事而大费心机", 6, 1.0, 0.978, "方 面", "情", 44
"有时思考或写作特殊紧张之际，即是顾不上抽，手里也要有一支燃燃的烟卷。", "有时写作或思考紧张之际 即使顾不上抽 手里也要有一只燃燃的烟卷", 1, 0.871, 0.931, "特 殊 是 支", "使 只", 31
"经历了那个天地的无比丰富的生活，因此能够给我提供许多十分重大的情节线索；所有我来不及或不能完满解决的问题，他都帮助我解决了。", "经历了那个天地十分完满的生活 给我提供了十分很多的素材 所有我不能解决或没空解决的问题 他都帮我解决了", 1, 0.741, 0.896, "无 比 丰 富 因 此 够 许 重 大 情 节 线 索 来 及 助", "很 素 材 没 空", 58
"经历了那个天地的无比丰富的生活，因此能够给我提供许多十分重大的情节线索；所有我来不及或不能完满解决的问题，他都帮助我解决了。", "经历了那个天地无比丰富的生活 给我提供了许多十分重要的情节线索 所有我来不及解决 或无法解决的问题，他都帮我解决了。", 2, 0.879, 0.962, "因 此 能 够 大 能 完 满 助", "要 法", 58
"经历了那个天地的无比丰富的生活，因此能够给我提供许多十分重大的情节线索；所有我来不及或不能完满解决的问题，他都帮助我解决了。", " 经历了那个天地无比丰富的生活，因此我能够获得十分重要的情节线索，所有我来不及，或者无法我无法完满解决的问题，他都帮助我解决了", 3, 0.897, 0.897, "给 提 供 许 多 大", "获 得 要 者 法 法", 58
"但坚强的老汉无法忍受这个生活的惩戒，他仍然把纸烟的烟丝倒出来，装上一类似烟叶的东西，一本正经地在抽。", "但坚强的老汉无法忍受生活给他的惩戒 他仍把烟丝倒过来 放上一个类似烟叶的东西 一本正经地在抽", 1, 0.87, 0.93, "这 然 纸 出 装", "给 过 放", 46
"但坚强的老汉无法忍受这个生活的惩戒，他仍然把纸烟的烟丝倒出来，装上一类似烟叶的东西，一本正经地在抽。", "但坚强的老汉无法忍受这个生活的惩戒 他把烟指的烟丝倒过来 装上一盒类似烟叶的东西 一本正经地在抽", 2, 0.913, 0.933, "仍 然 纸 出", "指 过 盒", 46
